Canada ,USA,Europe,China,East Asia,FSU,NAFME,Caribbean,NonTropSA,TropSA,C.A.Mex,S.Africa,Cen.Africa,W.Africa,E.Africa,SE Asia,S Asia,Oceania
17.2402,310.1969,48.5437,43.6785,6.4412,79.0033,14.1,-1.514912103,3.3242,32.9528,7.8847,NaN,NaN,NaN,NaN,36.1553,2.7016,215.4484
17.0797,314.7378,47.7196,42.4562,6.8789,78.9906,14.3,-1.467570499,3.495,35.3338,7.6383,NaN,NaN,NaN,NaN,37.3829,2.7601,213.705
16.9404,319.1136,47.0872,41.6187,7.3282,79.0063,14.5,-1.4418823,3.6504,37.4505,7.5046,NaN,NaN,NaN,NaN,39.0846,3.0745,211.8298
16.4769,325.0933,46.5078,40.9644,7.8632,78.9972,14.6,-1.433255522,3.8179,39.6833,7.4597,NaN,NaN,NaN,NaN,40.5799,4.1116,209.5294
16.2673,330.8212,45.9769,40.4384,7.894,79.0097,14.8,-1.424340545,3.9722,42.1403,7.4133,NaN,NaN,NaN,NaN,43.0344,4.4187,207.0914
16.059,336.3367,45.4906,40.1555,8.2534,79.0413,14.9,-1.564789864,4.1509,45.3808,8.1443,NaN,NaN,NaN,NaN,46.4611,4.7266,204.5233
15.8513,341.6654,45.0454,38.4411,8.576,79.0894,15.1,-1.630345688,4.3205,49.3191,8.4855,NaN,NaN,NaN,NaN,50.4347,5.0351,201.8319
15.6438,345.7703,44.6344,38.5778,8.936,79.1517,15.2,-1.726181694,4.5156,51.8132,8.9843,NaN,NaN,NaN,NaN,51.2672,5.022,196.3078
15.4363,310.7904,44.255,40.0564,9.3443,79.2261,15.4,-1.81888593,4.723,53.4044,9.4668,NaN,NaN,NaN,NaN,63.5725,6.9946,197.4214
15.2287,312.4568,43.9048,39.8007,9.8849,79.3108,15.5,-1.906786838,4.9245,55.242,9.9243,NaN,NaN,NaN,NaN,70.1838,7.1274,196.3019
15.0209,313.1891,43.5817,38.2,10.6174,79.4039,15.6,-2.035861876,5.105,57.4571,10.5961,NaN,NaN,NaN,NaN,72.5292,7.1803,195.8001
14.8129,313.9627,43.2836,39.3041,11.1429,79.5038,15.8,-2.180153858,5.3071,59.7262,11.3471,NaN,NaN,NaN,NaN,72.368,8.0268,194.7897
14.6046,314.5188,43.5171,39.169,11.6177,79.6091,15.9,-2.304098941,5.4841,61.9457,11.9922,NaN,NaN,NaN,NaN,71.1356,8.5236,193.8103
14.3961,312.4171,43.7632,37.5831,12.0172,79.7185,16,-2.383911044,5.6758,63.5731,12.4076,NaN,NaN,NaN,NaN,70.9307,8.8823,192.999
14.1875,310.2381,44.0203,36.7494,12.1389,79.8305,16.2,-2.428236157,5.8392,64.8594,12.6383,NaN,NaN,NaN,NaN,66.3286,9.1621,193.8577
13.9786,308.0351,44.2874,38.3844,12.4195,79.9442,16.3,-2.466220877,6.0196,66.3276,12.836,NaN,NaN,NaN,NaN,67.1561,8.7373,193.5424
13.7697,305.8301,44.5632,37.0163,12.6625,80.0585,16.4,-2.501246747,6.2355,68.2695,13.0183,NaN,NaN,NaN,NaN,68.0733,8.3016,193.2716
13.5729,302.917,44.8393,36.9742,12.837,80.1723,16.5,-2.534236006,6.4689,69.0209,13.19,NaN,NaN,NaN,NaN,68.7354,7.8575,192.6759
13.4139,313.4792,45.1147,37.6677,13.0675,80.2849,16.7,-2.525340242,6.6954,67.4075,13.1437,NaN,NaN,NaN,NaN,70.0268,7.3053,191.0696
13.2548,316.569,45.3883,38.1362,13.4,80.3953,16.8,-2.5975823,6.9309,66.4091,13.5197,NaN,NaN,NaN,NaN,67.1437,7.2659,190.4039
13.0957,318.6322,45.6592,38.1346,13.267,80.5029,16.9,-2.637584418,7.1469,70.1296,13.7279,NaN,NaN,NaN,NaN,61.6675,7.6706,189.7731
12.9367,320.6803,45.9264,55.4671,13.4627,80.6069,17,-2.682005598,7.3572,71.4521,13.9591,NaN,NaN,NaN,NaN,56.2049,8.3925,189.1759
12.7778,320.7479,46.1892,57.6387,13.6209,80.7067,17.1,-2.703851135,7.5453,71.0127,14.0728,NaN,NaN,NaN,NaN,49.4683,9.6641,188.6108
12.619,321.5746,46.4463,57.7189,13.7747,80.8017,17.2,-2.723045234,7.7304,70.2645,14.1727,NaN,NaN,NaN,NaN,43.2287,10.3783,184.9913
12.4603,320.4197,46.6971,59.0404,14.1158,80.8913,17.3,-2.758820424,7.9159,69.9676,14.3589,NaN,NaN,NaN,NaN,37.1409,11.0923,186.9284
12.3018,319.1974,46.9409,59.7706,14.475,80.9751,17.4,-3.013108623,8.1032,72.2371,15.6824,NaN,NaN,NaN,NaN,34.1557,11.8286,186.3961
12.1436,318.153,47.1771,61.1249,15.0201,81.0525,17.6,-3.183050378,8.2996,76.9325,16.5669,0.3,-0.3,0.2,-0.1,35.9347,11.4161,186.6068
11.991,317.638,47.5248,62.3497,15.5362,81.1231,20.1,-3.342751437,8.5386,82.0218,17.3981,0.3,-0.3,0.3,-0.1,36.7641,9.852,186.126
24.8305,279.3164,47.8929,64.2846,15.6938,81.1937,20.6,-3.458242663,8.7698,85.7971,17.9992,0.8,-0.3,1.6,0.6,37.2517,9.1235,203.6057
27.5727,269.2103,48.2796,80.6613,16.1863,81.2637,21,-3.513769138,8.9925,87.823,18.2882,0.9,-0.3,3.3,3.7,40.8375,8.313,206.6864
30.1816,261.2813,48.7529,98.3546,16.3544,81.3429,21.3,-3.596328744,9.2048,90.2632,18.7179,1.1,-0.3,5.1,5.2,42.5767,8.4344,211.4494
32.6881,253.413,49.169,116.2425,16.4334,81.4105,21.5,-3.648070197,9.4157,95.4785,18.9872,1.2,-0.3,6.7,6.8,45.7669,8.5234,215.0237
35.1223,247.6159,49.5979,134.5055,16.5047,81.4769,21.7,-3.675737368,9.6097,100.711,19.1312,1.9,-0.3,8.3,8.2,49.4179,8.651,218.6566
37.5253,242.0462,50.0387,154.3503,16.509,81.2868,21.9,-3.70828472,9.8018,104.8837,19.3006,2.6,-0.3,9.4,9.6,52.0944,9.2945,221.9436
39.8744,238.5385,50.4899,158.523,16.7217,80.5412,22.1,-3.760141452,9.9698,109.7414,19.5705,3.3,-0.3,11,11,53.8923,9.2213,225.3546
42.178,235.1952,50.9501,162.1045,16.928,79.7934,22.2,-3.759891679,10.1666,110.6116,19.5692,4.1,-0.3,12.5,12.3,57.6489,9.1672,228.81
44.4421,231.9763,51.4182,164.9197,16.6685,79.0431,22.3,-3.35303056,10.8431,108.8609,17.4516,4.6,-0.3,14,13.6,60.4689,9.125,232.3091
46.6714,229.418,51.8861,167.3045,16.7155,78.2902,22.5,-2.914986233,11.7428,104.3283,15.1717,5.1,-0.3,16.3,15,62.0819,8.723,235.851
48.873,200.7575,52.3529,167.8998,16.6968,77.5416,22.6,-2.85471407,12.8617,105.044,14.858,5.4,-0.3,18.5,16.3,59.7384,8.7522,227.7982
51.0499,196.4497,52.8175,168.58,16.8819,81.7855,22.7,-3.016855219,13.6921,106.9068,15.7019,5.7,-0.3,19.3,17.6,57.7195,8.8806,224.845
53.2045,192.5208,53.2789,169.1204,17.2523,82.8236,22.8,-2.970896974,14.4901,107.1855,15.4627,5.9,-0.3,21.1,18.8,61.6801,8.8876,227.0299
55.3387,188.6719,53.7362,170.6863,17.6208,83.7557,22.9,-2.815883964,15.1171,105.8771,14.6559,6.2,-0.3,22.3,20.1,60.3201,10.0127,226.7657
57.4544,184.1763,54.2495,171.8571,18.175,84.6834,22.9,-2.637296218,15.5492,104.0476,13.7264,6.5,-0.3,23.7,21.7,58.8636,10.9516,226.944
58.0607,180.3406,54.7497,172.0117,18.6841,85.6112,23,-2.522880938,15.8213,101.9676,13.1309,7.3,-0.3,25.2,23.1,60.7738,11.8725,226.0772
58.6513,175.9234,55.2362,176.255,19.3057,86.5467,23,-2.517059304,16.0714,101.1584,13.1006,8.1,-0.3,26.3,24.5,62.8787,12.6088,225.101
59.2272,171.6913,55.7085,180.016,19.7475,87.4959,23,-2.360009682,16.3137,103.4491,12.2832,8.9,-0.3,29.6,25.8,65.0163,12.233,224.0239
59.7895,167.7659,56.1661,185.7245,19.8381,88.4623,23,-2.379376702,16.0127,108.4903,12.384,9.7,-0.3,31.5,27.1,67.1186,11.4446,224.4613
60.3392,163.3576,56.6429,190.2441,20.0855,89.4505,23.1,-2.366465356,15.4689,113.6839,12.3168,10.2,-0.3,33.3,28.3,71.6674,10.6177,223.5768
60.8821,126.6658,57.1035,196.7746,20.2036,90.4622,23.1,-3.729035098,13.9677,117.0877,19.4086,10.7,-0.3,36.2,29.5,78.3656,12.8499,179.4263
61.4139,117.0524,57.5473,198.873,20.3984,91.498,23.1,-3.859282148,13.7008,122.5977,20.0865,11.2,-0.3,37.7,30.7,87.1919,12.9298,170.5348
61.9354,107.4939,57.9738,202.726,20.7784,92.5602,23.1,-3.945549924,14.6367,125.9277,20.5355,11.9,-0.3,39.2,31.8,97.3048,13.0182,161.531
62.4472,97.9811,58.3825,204.6451,21.0537,93.6473,23.1,-4.067285477,14.985,131.6686,21.1691,11.8,-0.3,41.4,32.9,108.3585,13.1679,152.5527
62.9497,90.9701,57.8394,207.8938,20.8627,94.7599,31.7,-4.468459455,15.9522,137.142,23.2571,12.2,-0.3,41.5,34,114.9285,14.518,143.4629
52.9174,136.0561,57.1656,209.5752,20.9788,95.8985,33.6,-4.871055219,16.6674,142.1008,25.3525,12.5,-0.3,42.5,35,119.3669,15.4655,134.5195
51.1941,137.0315,56.3658,210.8892,21.1151,95.8386,35.4,-5.185404236,17.4351,145.7371,26.9886,13.4,-0.3,43.5,36,121.8234,16.3596,125.4947
49.5738,136.8747,55.4448,211.2843,21.2444,95.8051,35.8,-5.323471104,18.1331,148.2876,27.7072,14.2,-0.3,43.7,37.4,121.5138,17.2317,114.4136
48.0303,151.3961,54.4069,214.3908,21.5619,95.7571,36.1,-5.413235703,18.5773,149.8903,28.1744,15,-0.3,44.8,38.5,118.788,17.1691,106.7319
46.5456,199.1924,53.2551,217.1491,21.7447,95.6946,36.7,-5.369179576,18.5802,163.4002,27.9451,15.9,-0.3,45.1,39.7,116.3504,16.9754,97.1199
45.1065,210.8148,51.9938,218.3302,21.6322,95.6176,37.3,-5.26742587,18.4916,172.2196,27.4155,16.3,-0.3,46.9,40.7,122.2547,16.8336,91.616
43.7036,190.0394,50.6267,219.4093,22.39,95.526,37.8,-5.01626944,18.4754,176.2752,26.1083,16.8,-0.3,48.8,41.7,119.9946,16.8432,86.2977
42.33,119.3422,49.1571,221.8651,23.3175,93.3293,38.3,-4.798179123,18.4902,174.598,24.9732,17.3,-0.3,50.3,42.7,121.2132,17.248,81.2872
40.9805,106.0618,47.5882,221.7338,23.5635,91.0057,38.8,-4.57797534,18.3553,180.234,23.8271,18.5,-0.3,51.8,43.7,122.5095,17.949,76.6769
39.6509,101.5823,45.9865,220.5286,23.4631,88.5565,39.2,-4.373295915,18.3659,185.1164,22.7618,18.1,-0.3,53.7,44.6,124.2676,18.1874,73.9009
38.339,79.3735,44.3499,220.27,23.5255,85.9832,39.6,-4.252002269,18.4452,190.816,22.1305,18.6,-0.3,54.4,45.5,126.1184,19.0093,71.1078
37.0423,83.8719,42.6812,220.0516,23.7188,83.2871,40,-4.191537973,18.7128,195.6577,21.8158,19.1,-0.3,55.3,46.3,122.5241,18.8873,68.2576
35.7586,79.9334,40.983,219.9525,23.6909,80.4697,40.3,-4.145502874,18.7733,194.6178,21.5762,20.3,-0.3,56.1,47.1,114.6736,18.7293,65.5221
34.486,69.2488,39.2578,220.1273,23.8493,76.5225,40.7,-4.125328896,18.5222,192.7891,21.4712,21.5,1.3,56.5,47.9,108.7117,18.8287,62.9829
33.2232,68.9282,37.5305,221.1364,23.7769,59.7216,41,-4.462042209,19.432,180.8138,23.2237,22.7,4.8,58,48.6,102.078,18.1412,60.6811
33.1977,128.4661,35.8035,221.0397,22.6552,51.5223,41.3,-4.76615053,19.714,178.4874,24.8065,23.9,8.9,59.1,49.8,95.2121,17.0303,95.1944
33.1793,122.5432,34.0786,233.3634,23.3302,43.3558,41.7,-5.176931165,20.2488,190.4819,26.9445,25.3,13.5,60,50.7,88.609,16.3691,97.9524
33.1671,121.0254,32.3578,243.9691,24.0882,35.217,41.9,-5.555702421,20.5794,197.7128,28.9159,26.1,18.5,61.9,51.5,89.8828,15.842,100.6852
33.1601,117.3636,30.643,256.3336,23.7987,27.0744,42.1,-5.942043722,20.9004,199.531,30.9267,26.9,23.7,62.7,52.3,90.0869,16.073,97.6119
33.1575,119.3194,28.9359,269.2614,23.7007,19.9038,42.3,-6.30517534,21.303,200.4113,32.8167,28.7,29,63.4,53,90.1301,16.5943,98.0081
32.9601,75.7474,27.2379,283.8264,23.472,15.9985,42.6,-6.610417247,21.6811,200.6561,34.4054,28.7,34.1,64,53.7,89.1691,17.0502,96.3612
32.7656,65.8652,25.5506,285.7189,25.2384,12.4218,42.8,-6.834867171,21.9573,201.4376,35.5736,29.6,39.1,63.6,54.4,91.2488,18.0656,95.563
32.5734,61.6223,23.8755,287.9301,25.6751,9.284,43,-7.002945234,22.5441,203.1298,36.4484,30.6,43.7,64,55.1,92.1218,18.126,94.1677
32.3829,59.4845,22.2139,289.1681,26.2703,7.6285,43.2,-7.317544024,23.6433,205.7207,38.0858,30.6,47.8,65.1,55.7,92.1768,18.1945,92.7942
32.195,77.635,21.0282,288.1188,26.3141,125.8607,34.4,-8.018253555,26.3992,223.3801,41.7328,32.4,51.6,65.7,56.1,100.1721,18.5387,91.354
32.8372,20.7806,19.966,286.9902,38.699,150.0132,32.6,-8.24862118,27.2874,233.0694,42.9318,33.8,55.4,67.3,56.2,106.1449,22.0801,55.9372
32.5467,-2.9467,19.0234,305.1033,40.716,173.5464,30.8,-8.108133434,27.898,270.6559,42.2006,35.3,58.9,68.5,56.4,116.8951,22.7501,51.5152
32.2509,-8.0207,18.1949,323.317,42.6785,196.6227,28.6,-7.961420575,28.4867,271.6364,41.437,36.8,62,69.6,56.3,124.2048,24.121,46.8713
31.9514,-14.5983,17.4808,340.5851,44.4896,219.3921,26.4,-7.660309531,28.5508,283.2588,39.8698,37.8,65,72.6,56.6,135.7761,24.5673,47.4129
31.6467,-11.8658,16.876,361.5342,46.3933,244.6084,25.7,-7.387730257,28.6729,294.8458,38.4511,38.7,68,73.2,56.7,149.6935,25.4017,48.0322
31.337,-14.9828,16.3778,380.5939,47.9866,269.7733,25,-7.174769894,28.8377,305.8586,37.3427,40.2,70.7,73.7,56.7,142.0194,26.2642,48.8191
31.023,8.0373,15.9833,382.154,51.8601,294.9339,24.4,-7.006576551,29.1182,314.5155,36.4673,40.7,73.3,73.9,56.7,140.2328,26.8716,57.4014
30.7052,-22.2122,15.6901,373.1424,53.9166,223.0656,23.8,-7.036972012,29.9041,339.181,36.6255,42.1,75.7,73.4,56.6,136.5479,27.5733,60.1985
30.3841,-26.9558,15.4959,354.6236,55.9884,226.8325,23.2,-7.32801528,31.1173,368.0501,38.1403,43.1,78.1,73.3,56.9,132.7866,27.2735,63.0464
30.0598,-37.4091,15.3554,330.4499,56.8121,226.7566,22.6,-8.903065053,38.5851,366.2064,46.338,42.1,80.4,71.8,55.1,131.7004,26.7941,62.3257
40.0514,-33.8495,12.0884,310.4049,43.4238,226.2668,22.1,-8.059542965,40.7919,363.6266,41.9477,45.6,82.9,72.5,54.7,123.4949,26.361,66.9554
40.1987,-37.451,11.0528,287.9427,40.6799,205.8985,21.5,-7.985091377,42.1383,415.476,41.5602,46.8,85.3,73.6,55.4,120.5048,14.6042,68.1925
40.4598,-42.1597,9.8837,285.0587,40.2197,204.9216,21,-8.399906808,43.3971,437.2145,43.7192,48.3,87.6,75.2,56.7,120.7159,11.1598,69.6197
40.3153,-36.3565,8.5886,283.3834,39.1743,197.4855,20.5,-9.227347352,45.4702,439.5779,48.0258,51.8,89.6,75.2,57.6,129.33,8.4008,69.9366
41.1719,-9.0194,-1.8213,282.286,38.9077,173.9556,21.6,-8.526368835,47.1255,454.8679,44.3774,52.5,92,74.6,59.3,134.4529,6.1755,70.2949
38.9587,-5.1012,-7.4097,279.1288,37.241,147.0287,21.8,-9.132452799,48.5192,478.2588,47.5319,53.5,93.6,74.4,59.9,147.9846,5.3612,68.6614
39.6448,-6.039,-11.0077,277.5495,32.1038,127.3832,22,-9.443881392,51.6867,471.785,49.1528,55.8,96.1,82.2,57.5,159.4551,4.3726,55.2858
40.6733,9.0545,-15.1053,274.4243,29.025,105.9216,21.7,-9.828186082,53.414,492.1704,51.153,58.1,97.9,81.9,56,167.9111,2.916,51.0651
40.4819,13.4632,-17.4162,273.4159,25.9656,84.1966,21.5,-10.04327912,53.0014,489.3357,52.2725,59.9,100.2,85.1,54.1,171.8958,1.9998,46.5541
39.8766,-21.1242,-21.3916,271.4633,22.4077,65.6795,21.5,-10.83646233,40.4857,495.7126,56.4008,64.1,101.9,87.8,53.4,186.1655,0.508,44.6072
38.995,-14.2835,-26.7212,270.2524,14.1337,45.2642,21.6,-9.648368684,36.0569,477.5752,50.2171,66.7,103.9,87.2,52.9,191.6608,-0.9718,38.9581
42.8243,-28.3954,-30.8763,270.2139,9.006,21.9766,21.6,-7.904798941,36.4444,410.7164,41.1423,67.8,104.9,84.9,54,196.703,-2.5581,35.6163
40.4644,-27.5522,-31.6209,269.5355,6.1161,14.8752,21.7,-7.083737216,32.8853,395.884,36.8689,69.9,106.2,81.9,53,205.8064,-4.0966,39.2835
35.7087,-15.6281,-34.6635,268.1382,1.907,5.6813,21.7,-7.036184266,30.7095,390.2525,36.6214,73.2,106.9,80.1,52.3,199.036,-3.296,37.9694
40.1162,-5.3879,-39.4069,268.5582,-1.0179,0.6824,21.8,-8.54402587,26.3087,370.3472,44.4693,74,109.1,76.2,50.5,194.3194,-3.0972,36.6683
41.0599,-0.2858,-39.9453,267.9741,-3.4832,-6.57,21.8,-8.106500303,20.3472,359.8646,42.1921,75.9,111.5,74.3,51,201.0801,-3.187,32.7728
46.0802,7.533,-40.7291,266.8147,-11.2728,-8.2517,21.8,-7.783140242,18.9105,363.0865,40.5091,76.8,114.3,74.2,51.2,215.4362,-2.4347,36.3068
47.9319,9.9168,-45.235,238.8101,-14.4644,-11.9948,21.8,-7.871329349,20.8891,348.0013,40.9681,76.1,117.1,76.5,52.8,233.7056,-3.0068,35.1097
45.8084,28.7292,-46.9799,199.8065,-15.7376,-18.2108,21.9,-8.499643116,21.5006,350.0115,44.2383,72.3,120,76,53.8,249.7548,-3.2977,34.7458
42.6406,24.2123,-48.8553,159.9304,-16.7956,-18.4801,17,-9.213744327,32.1455,351.3106,47.955,77,120,75,52.5,273.471,-3.4521,33.0863
34.1264,33.1818,-49.6872,116.2635,-15.267,-19.254,16.6,-8.682265658,25.6573,334.7371,45.1888,74.9,120.4,74.2,51.4,296.1239,-4.5106,29.8493
36.3687,22.7835,-55.4996,74.3886,-16.3394,-22.8706,16.4,-11.88353026,34.7674,329.9075,61.8505,73,119,75.9,45,301.6199,-5.5351,27.7493
36.0793,16.9405,-50.7222,53.9112,-18.9863,-23.7513,18,-13.16511589,23.1652,437.4148,68.5208,71.1,118.3,72.3,43.3,312.4505,-6.4801,14.1538
35.4702,12.3299,-50.2492,44.5698,-20.5274,-25.0107,19.8,-15.21771256,31.7231,519.3893,79.204,69.9,118.2,76.6,42.1,329.4363,-7.3306,10.2337
36.3312,14.4323,-51.0964,37.1758,-22.3082,-28.5171,20.4,-14.70790651,30.2961,549.6155,76.5506,67.7,118.1,75.8,44.9,285.3019,-6.4805,6.0652
37.974,13.6834,-51.9925,29.7043,-24.2881,-28.4319,21,-14.82991104,30.6575,557.035,77.1856,68.4,118.3,78.9,47.2,268.9873,-7.3551,5.5286
36.3196,13.9394,-52.4518,21.4336,-29.5612,-30.8107,21.7,-13.47525719,29.008,522.4709,70.135,68.6,118.4,79.7,46.9,281.9284,-8.7521,5.2628
34.0697,11.0732,-51.4809,14.9217,-32.0491,-38.1318,22.5,-12.84413828,27.3687,546.9196,66.8502,69.7,118.1,82.2,47.1,295.4434,-9.7054,5.1556
26.34,0.3308,-52.1615,10.5389,-32.646,-40.4236,23.2,-12.53240227,24.6393,574.1542,65.2277,77.9,75.2,93.9,53.3,338.7502,-13.0457,12.2771
23.9336,22.319,-54.185,3.7694,-33.3822,-45.6097,23.1,-13.68368321,23.0753,592.0128,71.2198,80.1,67.7,101,56.3,383.8119,-15.7922,13.8356
69.7759,-5.9587,-50.2539,5.0533,-28.895,-52.6046,23.7,-13.20363858,16.488,586.8074,68.7213,84.4,61.9,106.4,60.3,462.1051,-17.7299,16.251
65.0516,-12.4567,-49.5652,-2.7036,-27.3579,-65.7593,24,-12.49543585,17.4736,489.1326,65.0353,83.4,60.7,110.2,60.9,524.8815,-20.1235,15.1945
68.3419,-19.8052,-49.434,-9.5336,-31.3308,-74.4921,23.8,-11.77128608,10.7394,473.6697,61.2663,84.8,60.5,109.5,62.3,611.0916,-17.5914,21.7978
65.0314,-22.1428,-46.8398,-14.2475,-33.8559,-76.5439,23.6,-10.09792179,16.5316,434.4789,52.5569,88.4,62.6,112.1,64,847.743,-15.2681,22.1658
59.3595,-22.4326,-54.6988,-21.7742,-34.9565,-90.8581,23,-10.37622663,15.0898,431.9167,54.0054,83.6,63.5,112.2,63.7,877.526,-14.0825,22.1356
21.4868,-26.4351,-58.7664,-29.5291,-35.4999,-94.3837,22.6,-10.10966112,16.2302,419.5712,52.618,82.9,64,108.9,66.2,863.585,-8.4575,20.9887
16.8877,-26.7988,-61.0093,-34.9173,-34.1971,-107.2107,21.7,-11.43055719,10.2689,428.9096,59.4929,81.7,64.9,108.9,67.2,819.0163,-7.0616,17.714
15.8891,-27.4853,-61.5797,-42.5629,-34.945,-113.2665,21.3,-10.3725761,14.4515,416.2124,53.9864,78.9,65.3,112.1,69,795.3063,-5.8278,16.0572
14.4543,-27.7432,-61.175,-47.8388,-37.8006,-124.7137,20.8,-10.42856369,17.72,429.5172,54.2778,79.3,63.3,96.3,55.8,617.2617,-6.5091,3.0808
10.0283,-27.2817,-63.6624,-54.0493,-38.2051,-136.2491,20.6,-9.776732829,21.5805,407.0991,50.8852,84.8,63.8,93.8,52.8,542.0516,-7.7353,-0.8173
11.0622,-28.3587,-63.4467,-54.4205,-42.5655,-140.591,20.3,-11.32534508,15.3613,417.1061,58.9453,88.9,64.3,93.3,52.5,502.5073,-10.0203,9.305
5.9596,-28.5911,-63.5572,-63.6975,-44.2162,-146.1289,20.2,-9.010659607,17.2325,403.6563,46.898,99.7,63.7,95.1,52.1,471.1244,-12.8076,10.7708
10.194,-28.3999,-64.2058,-71.9421,-49.1231,-148.4813,20,-8.371221331,15.9092,434.6722,43.5699,102.9,65.2,93.3,54.3,484.2977,-16.4995,10.0752
7.5812,-29.5696,-60.8375,-78.2902,-50.2531,-158.5266,19.8,-7.396952648,20.3953,403.6989,38.4991,109,63.5,109.6,59.9,421.5181,-15.3637,9.2442
1.961,-30.907,-61.6376,-84.2632,-50.2256,-158.715,19.6,-7.839992436,21.7642,394.3394,40.805,107.1,59.9,113.7,61.1,403.6245,-16.6752,18.0965
-12.6066,-31.9463,-59.0993,-91.6421,-51.1314,-161.1671,19.4,-7.317832224,21.3432,380.1983,38.0873,103,59.3,119.1,63.7,390.8755,-19.6525,17.7665
9.4908,-35.1042,-56.3142,-96.9782,-42.8866,-159.5272,19.2,-7.614831619,4.472,366.0904,39.6331,96.1,59.5,122.3,65,383.0811,-19.3249,22.6796
