CO2,GHG Other,O3 (Trop),O3 (Strat),Aerosol (Total),LUC,H2O (Strat),BC Snow,Contrails,Solar,Volcano
0.097,0.042,0.031,0.0,-0.132,-0.03,0.004,0.011,0.0,-0.059,0.0
0.098,0.043,0.032,0.0,-0.134,-0.03,0.005,0.011,0.0,-0.052,0.0
0.1,0.044,0.032,0.0,-0.136,-0.03,0.005,0.011,0.0,-0.044,0.0
0.103,0.045,0.033,0.0,-0.137,-0.031,0.005,0.011,0.0,-0.018,0.0
0.106,0.045,0.033,0.0,-0.139,-0.031,0.005,0.011,0.0,-0.008,0.0
0.109,0.045,0.034,0.0,-0.141,-0.032,0.005,0.011,0.0,-0.006,0.0
0.111,0.045,0.034,0.0,-0.143,-0.032,0.005,0.012,0.0,0.002,0.0
0.113,0.044,0.034,0.0,-0.145,-0.032,0.005,0.012,0.0,0.002,-1.538
0.114,0.043,0.035,0.0,-0.146,-0.033,0.005,0.012,0.0,-0.02,-1.229
0.114,0.041,0.035,0.0,-0.148,-0.033,0.005,0.012,0.0,-0.035,-0.605
0.114,0.039,0.036,0.0,-0.15,-0.034,0.005,0.012,0.0,-0.038,-0.223
0.113,0.037,0.036,0.0,-0.152,-0.034,0.005,0.012,0.0,-0.033,-4.935
0.112,0.036,0.037,0.0,-0.153,-0.034,0.005,0.012,0.0,0.017,-1.445
0.112,0.035,0.037,0.0,-0.155,-0.035,0.006,0.013,0.0,0.055,-0.523
0.112,0.035,0.037,0.0,-0.157,-0.035,0.006,0.013,0.0,0.051,-0.192
0.114,0.036,0.038,0.0,-0.159,-0.036,0.006,0.013,0.0,0.028,-0.069
0.117,0.037,0.038,0.0,-0.161,-0.036,0.006,0.013,0.0,0.027,-0.047
0.121,0.038,0.039,0.0,-0.162,-0.036,0.006,0.013,0.0,0.007,-0.013
0.127,0.04,0.039,0.0,-0.164,-0.037,0.006,0.013,0.0,-0.006,-0.003
0.135,0.041,0.039,0.0,-0.166,-0.037,0.006,0.013,0.0,-0.013,-0.052
0.142,0.042,0.04,0.0,-0.168,-0.038,0.006,0.014,0.0,-0.024,-0.014
0.149,0.043,0.04,0.0,-0.169,-0.038,0.006,0.014,0.0,-0.026,-0.003
0.155,0.044,0.041,0.0,-0.171,-0.038,0.006,0.014,0.0,-0.024,-0.071
0.16,0.044,0.041,0.0,-0.173,-0.039,0.007,0.014,0.0,-0.062,-0.02
0.163,0.045,0.042,0.0,-0.175,-0.039,0.007,0.014,0.0,-0.018,-0.005
0.166,0.046,0.042,0.0,-0.177,-0.04,0.007,0.014,0.0,0.043,-0.001
0.167,0.046,0.042,0.0,-0.178,-0.04,0.007,0.014,0.0,0.024,-0.1
0.167,0.047,0.043,0.0,-0.18,-0.04,0.007,0.015,0.0,0.016,-0.075
0.166,0.048,0.044,0.0,-0.182,-0.041,0.007,0.015,0.0,0.02,-0.025
0.164,0.049,0.045,0.0,-0.184,-0.041,0.007,0.015,0.0,0.011,-0.025
0.162,0.05,0.046,0.0,-0.185,-0.041,0.007,0.016,0.0,-0.01,0.0
0.16,0.051,0.047,0.0,-0.187,-0.042,0.007,0.016,0.0,-0.027,-0.05
0.158,0.052,0.048,0.0,-0.189,-0.042,0.007,0.016,0.0,-0.037,-0.975
0.156,0.054,0.049,0.0,-0.191,-0.042,0.008,0.016,0.0,-0.037,-1.5
0.155,0.055,0.05,0.0,-0.192,-0.043,0.008,0.017,0.0,-0.02,-0.725
0.154,0.057,0.05,0.0,-0.194,-0.043,0.008,0.017,0.0,-0.007,-0.275
0.154,0.058,0.051,0.0,-0.196,-0.043,0.008,0.017,0.0,0.029,-0.125
0.153,0.06,0.052,0.0,-0.198,-0.044,0.008,0.018,0.0,0.036,-0.075
0.153,0.061,0.053,0.0,-0.199,-0.044,0.008,0.018,0.0,0.013,-0.35
0.154,0.062,0.054,0.0,-0.201,-0.044,0.008,0.018,0.0,0.006,-0.25
0.156,0.063,0.055,0.0,-0.203,-0.045,0.008,0.018,0.0,-0.017,-0.125
0.158,0.064,0.056,0.0,-0.205,-0.045,0.009,0.019,0.0,-0.018,-0.05
0.162,0.066,0.057,0.0,-0.206,-0.045,0.009,0.019,0.0,-0.021,-0.025
0.167,0.067,0.058,0.0,-0.208,-0.046,0.009,0.019,0.0,-0.037,0.0
0.173,0.068,0.059,0.0,-0.21,-0.046,0.009,0.02,0.0,-0.039,0.0
0.18,0.07,0.059,0.0,-0.212,-0.046,0.009,0.02,0.0,-0.005,-0.025
0.188,0.071,0.06,0.0,-0.213,-0.047,0.009,0.02,0.0,-0.028,-0.025
0.195,0.073,0.061,0.0,-0.215,-0.047,0.009,0.02,0.0,0.025,-0.025
0.202,0.075,0.062,0.0,-0.217,-0.047,0.009,0.021,0.0,0.012,-0.025
0.208,0.077,0.063,0.0,-0.219,-0.048,0.01,0.021,0.0,0.015,-0.075
0.212,0.079,0.064,0.0,-0.22,-0.048,0.01,0.021,0.0,0.0,-0.05
0.215,0.081,0.065,0.0,-0.222,-0.049,0.01,0.022,0.0,-0.015,-0.025
0.218,0.083,0.066,0.0,-0.224,-0.049,0.01,0.022,0.0,-0.029,-0.15
0.219,0.084,0.067,0.0,-0.226,-0.049,0.01,0.022,0.0,-0.033,-0.125
0.219,0.086,0.067,0.0,-0.227,-0.05,0.01,0.022,0.0,-0.041,-0.075
0.221,0.088,0.068,0.0,-0.229,-0.05,0.01,0.023,0.0,-0.044,-0.05
0.222,0.089,0.069,0.0,-0.231,-0.05,0.011,0.023,0.0,-0.039,-0.025
0.224,0.091,0.07,0.0,-0.233,-0.051,0.011,0.023,0.0,-0.007,-0.025
0.228,0.092,0.071,0.0,-0.234,-0.051,0.011,0.024,0.0,-0.019,-0.025
0.232,0.094,0.072,0.0,-0.236,-0.052,0.011,0.024,0.0,-0.031,-1.175
0.238,0.096,0.073,0.0,-0.238,-0.052,0.011,0.024,0.0,0.018,-3.575
0.244,0.098,0.074,0.0,-0.24,-0.053,0.011,0.024,0.0,0.002,-1.575
0.25,0.1,0.075,0.0,-0.241,-0.053,0.011,0.025,0.0,-0.014,-0.9
0.258,0.102,0.075,0.0,-0.243,-0.053,0.012,0.025,0.0,-0.033,-0.925
0.266,0.104,0.076,0.0,-0.245,-0.054,0.012,0.025,0.0,-0.037,-0.55
0.274,0.106,0.077,0.0,-0.247,-0.054,0.012,0.026,0.0,-0.041,-0.725
0.283,0.107,0.078,0.0,-0.248,-0.055,0.012,0.026,0.0,-0.041,-0.975
0.293,0.108,0.079,0.0,-0.25,-0.055,0.012,0.026,0.0,-0.02,-0.75
0.302,0.109,0.08,0.0,-0.252,-0.056,0.012,0.026,0.0,0.004,-0.55
0.311,0.11,0.081,0.0,-0.254,-0.056,0.013,0.027,0.0,0.035,-0.225
0.319,0.111,0.082,0.0,-0.255,-0.057,0.013,0.027,0.0,0.072,-0.1
0.325,0.111,0.083,0.0,-0.257,-0.057,0.013,0.027,0.0,0.052,-0.025
0.33,0.112,0.083,0.0,-0.259,-0.058,0.013,0.028,0.0,0.023,-0.45
0.334,0.113,0.084,0.0,-0.261,-0.058,0.013,0.028,0.0,-0.003,-0.425
0.336,0.114,0.085,0.0,-0.262,-0.059,0.014,0.028,0.0,-0.012,-0.3
0.337,0.115,0.086,0.0,-0.264,-0.059,0.014,0.028,0.0,-0.017,-0.125
0.339,0.117,0.087,0.0,-0.266,-0.06,0.014,0.029,0.0,-0.028,-0.05
0.341,0.12,0.088,0.0,-0.268,-0.061,0.014,0.029,0.0,-0.043,-0.025
0.344,0.123,0.089,0.0,-0.27,-0.061,0.015,0.03,0.0,-0.048,-0.5
0.349,0.127,0.09,0.0,-0.272,-0.062,0.015,0.03,0.0,-0.036,-1.8
