CO2,CH4,N2O,FGAS,ODS,OC,BC,SOX,NOX,BBAER,DUST,CLOUD,O3S,O3T,H2OS,LCC,BCSNOW,VOLC,SOLAR
2.66288,0.512536,0.22691,0.0681243,0.265226,-0.0389052,0.167003,-0.247787,-0.0855175,0.0571059,-0.1,-0.58975,-0.00378579,0.35689,0.0877371,-0.222198,0.0832217,0.0,0.0592681
2.69367,0.512744,0.229013,0.0690005,0.261344,-0.0387385,0.165574,-0.241796,-0.0849552,0.0571861,-0.1,-0.58598,-0.0032097,0.355864,0.0877728,-0.222458,0.0824875,0.0,0.0431769
2.7243,0.512905,0.231102,0.0698596,0.257138,-0.0385756,0.164119,-0.235706,-0.0843095,0.0573021,-0.1,-0.582045,-0.00267507,0.354826,0.0878007,-0.222718,0.0817408,0.0,0.0322656
2.75477,0.513024,0.233178,0.0707029,0.25261,-0.0384205,0.16261,-0.22942,-0.083497,0.0574894,-0.1,-0.577802,-0.00218073,0.353778,0.0878212,-0.222984,0.0809694,0.0,0.025655
2.78492,0.513065,0.235233,0.0715225,0.247806,-0.0382691,0.161074,-0.223035,-0.0826011,0.0577123,-0.1,-0.573385,-0.00172618,0.352316,0.0878283,-0.223257,0.0801856,0.0,0.0725287
2.81452,0.512973,0.237262,0.0723106,0.242801,-0.0381178,0.159538,-0.21665,-0.0817052,0.0579353,-0.1,-0.568929,-0.00131371,0.350427,0.0878124,-0.223539,0.0794018,0.0,0.146252
2.84362,0.51274,0.239263,0.0730701,0.237661,-0.0379665,0.158002,-0.210266,-0.0808093,0.0581583,-0.1,-0.564433,-0.000946724,0.348504,0.0877722,-0.223828,0.0786179,0.0,0.181191
2.87247,0.512396,0.241239,0.0738058,0.232449,-0.0378152,0.156466,-0.203881,-0.0799135,0.0583813,-0.1,-0.559896,-0.000629907,0.346552,0.0877129,-0.224125,0.0778341,0.0,0.190562
2.90118,0.511965,0.243188,0.0745214,0.227215,-0.0376639,0.154931,-0.197496,-0.0790176,0.0586043,-0.1,-0.555318,-0.000367529,0.344579,0.0876386,-0.22443,0.0770503,0.0,0.174151
2.92978,0.511468,0.24511,0.0752204,0.222,-0.0375126,0.153395,-0.191111,-0.0781217,0.0588272,-0.1,-0.550696,-0.000167466,0.342589,0.0875529,-0.224743,0.0762665,0.0,0.130187
2.95829,0.510926,0.247008,0.0759057,0.216838,-0.0373613,0.151859,-0.184727,-0.0772258,0.0590502,-0.1,-0.546032,-4.34669e-05,0.340588,0.0874595,-0.225064,0.0754826,0.0,0.0860781
2.98662,0.510346,0.248879,0.0765791,0.211753,-0.03721,0.150323,-0.178342,-0.0763299,0.0592732,-0.1,-0.541323,-1.1648e-06,0.338577,0.0873595,-0.225392,0.0746988,0.0,0.0592681
3.01466,0.509724,0.250726,0.0772416,0.206764,-0.0370293,0.148767,-0.172691,-0.0754301,0.0593407,-0.1,-0.53676,0.0,0.336556,0.0872522,-0.225725,0.0739069,0.0,0.0431769
3.04237,0.509058,0.252547,0.077894,0.201882,-0.0367898,0.147173,-0.168506,-0.0745226,0.0590972,-0.1,-0.532538,0.0,0.334524,0.0871375,-0.226052,0.0730988,0.0,0.0322656
