NAmerica,S&CAmerica,Europe,NA&ME,Africa,FSU,China,S&SEAsia,PCDV
0.45,0.035,0.17,0.014,0.08,0.288,0.258,0.497,0.001
0.45,0.035,0.17,0.014,0.08,0.288,0.258,0.497,0.001
0.45,0.035,0.17,0.014,0.08,0.288,0.258,0.497,0.001
0.3,0.035,0.17,0.014,0.1,0.288,0.258,0.49,0.001
0.3,0.035,0.17,0.014,0.1,0.288,0.258,0.49,0.001
0.3,0.035,0.17,0.014,0.1,0.288,0.258,0.49,0.001
0.3,0.035,0.17,0.014,0.1,0.288,0.258,0.49,0.001
0.3,0.035,0.17,0.014,0.1,0.288,0.258,0.49,0.001
0.3,0.035,0.17,0.014,0.1,0.288,0.258,0.49,0.001
0.3,0.035,0.17,0.014,0.1,0.288,0.258,0.49,0.001
0.3,0.035,0.17,0.014,0.1,0.288,0.258,0.49,0.001
0.3,0.035,0.17,0.014,0.1,0.288,0.258,0.49,0.001
0.3,0.035,0.17,0.014,0.1,0.288,0.258,0.49,0.001
0.3,0.078,0.17,0.066,0.125,0.288,0.258,0.49,0.001
0.3,0.078,0.17,0.066,0.125,0.098,0.258,0.49,0.001
0.3,0.078,0.17,0.066,0.125,0.098,0.258,0.49,0.001
0.3,0.078,0.17,0.066,0.125,0.098,0.258,0.49,0.001
0.3,0.078,0.17,0.066,0.125,0.098,0.258,0.49,0.001
0.3,0.078,0.17,0.066,0.125,0.098,0.258,0.49,0.001
0.3,0.078,0.17,0.066,0.125,0.098,0.258,0.49,0.001
0.3,0.078,0.17,0.066,0.125,0.098,0.258,0.49,0.001
0.3,0.078,0.17,0.066,0.125,0.098,0.258,0.49,0.001
0.3,0.078,0.17,0.066,0.125,0.098,0.258,0.49,0.001
0.3,0.078,0.057,0.066,0.125,0.098,0.258,0.707,0.038
0.3,0.078,0.057,0.066,0.125,0.098,0.258,0.707,0.038
0.3,0.078,0.057,0.066,0.125,0.098,0.258,0.707,0.038
0.3,0.078,0.057,0.066,0.125,0.098,0.215,0.707,0.038
0.3,0.078,0.057,0.066,0.125,0.098,0.215,0.707,0.038
0.3,0.078,0.057,0.066,0.15,0.098,0.215,0.707,0.038
0.3,0.078,0.057,0.066,0.15,0.098,0.215,0.707,0.038
0.3,0.078,0.057,0.066,0.15,0.098,0.215,0.707,0.038
0.3,0.078,0.057,0.066,0.15,0.098,0.215,0.707,0.038
0.3,0.078,0.057,0.066,0.15,0.098,0.215,0.707,0.038
0.3,0.2504,0.057,0.066,0.15,0.098,0.215,0.707,0.038
0.3,0.2504,0.057,0.066,0.15,0.098,0.215,0.707,0.038
0.3,0.2504,0.057,0.066,0.15,0.098,0.215,0.707,0.038
0.3,0.2504,0.057,0.066,0.15,0.098,0.215,0.707,0.038
0.3,0.2504,0.057,0.066,0.15,0.098,0.215,0.707,0.038
0.3,0.2504,0.057,0.066,0.18,0.098,0.215,0.707,0.038
0.3,0.2504,0.057,0.066,0.18,0.098,0.215,0.707,0.038
0.3,0.2504,0.057,0.066,0.18,0.098,0.215,0.707,0.038
0.3,0.2504,0.057,0.066,0.18,0.098,0.215,0.707,0.038
0.3,0.2504,0.057,0.066,0.18,0.098,0.215,0.707,0.038
