ISO-Numeric,Country,ISO-Alpha3,GTAP7,SRES_4reg,SRES_11reg,RECCAP1,Raupach_2007,Houghton_2001,IMACLIM,Kyoto,RCP_5reg,RCP_10reg,Houghton_2017,AR6_5reg,AR6_10reg,AR6_22reg,Finest,MESSAGE
226,Equatorial Guinea,GNQ,99,4,11,1,9,5,10,2,3,6,1,1,1,18,81,1
231,Ethiopia,ETH,101,4,11,1,9,5,10,2,3,6,1,1,1,5,83,1
232,Eritrea,ERI,110,4,11,1,9,5,10,2,3,6,1,1,1,5,92,1
233,Estonia,EST,51,2,5,7,5,6,3,1,5,4,6,3,5,13,70,3
234,Faroe Islands,FRO,82,2,4,0,4,3,3,2,5,2,5,3,5,13,69,0
238,Falkland Islands (Malvinas),FLK,39,4,10,10,8,2,12,2,2,5,2,5,6,15,37,0
239,South Georgia and the South Sandwich Islands,SGS,0,0,0,0,0,0,0,2,0,5,0,5,6,15,0,0
242,Fiji,FJI,3,3,8,3,8,9,11,2,4,10,10,2,9,4,3,9
246,Finland,FIN,52,1,2,7,2,3,3,1,4,2,5,3,5,13,48,11
248,Aland Islands,ALA,82,1,2,7,2,3,3,1,4,2,5,3,5,13,69,0
250,France,FRA,53,1,2,7,2,3,3,1,4,2,5,3,5,13,49,11
254,French Guiana,GUF,39,4,10,10,8,2,12,2,2,5,2,5,6,15,37,5
258,French Polynesia,PYF,3,3,8,3,8,9,11,2,4,10,10,2,9,4,3,9
260,French Southern Territories,ATF,110,4,11,1,8,5,10,2,3,5,0,1,1,5,92,0
262,Djibouti,DJI,110,4,11,1,9,5,10,2,3,6,1,1,1,5,92,1
266,Gabon,GAB,99,4,11,1,8,5,10,2,3,6,1,1,1,18,81,1
268,Georgia,GEO,88,2,5,0,5,6,5,2,5,4,6,4,4,7,70,4
270,Gambia,GMB,98,4,11,1,9,5,10,2,3,6,1,1,1,20,80,1
275,Palestine State of,PSE,91,4,9,0,8,4,9,2,3,7,8,1,7,11,73,0
276,Germany,DEU,54,1,2,7,2,3,3,1,4,2,5,3,5,13,50,11
288,Ghana,GHA,98,4,11,1,8,5,10,2,3,6,1,1,1,20,80,1
292,Gibraltar,GIB,82,2,4,0,4,3,3,2,5,2,5,3,5,17,69,11
296,Kiribati,KIR,3,3,8,3,9,9,11,2,4,10,10,2,9,4,3,9
300,Greece,GRC,55,1,2,7,2,3,3,1,4,2,5,3,5,17,51,11
304,Greenland,GRL,28,1,2,8,4,3,12,2,4,2,0,3,8,8,26,11
308,Grenada,GRD,45,4,10,0,8,2,12,2,2,5,2,5,6,3,43,5
312,Guadeloupe,GLP,45,4,10,0,8,2,12,2,2,5,2,5,6,3,43,5
316,Guam,GUM,3,3,8,3,8,9,11,2,4,1,10,2,9,4,3,7
320,Guatemala,GTM,41,4,10,0,8,2,12,2,2,5,2,5,6,10,39,5
324,Guinea,GIN,98,4,11,1,9,5,10,2,3,6,1,1,1,20,80,1
328,Guyana,GUY,39,4,10,10,9,2,12,2,2,5,2,5,6,15,37,5
332,Haiti,HTI,45,4,10,0,8,2,12,2,2,5,2,5,6,3,43,5
334,Heard Island and McDonald Islands,HMD,0,0,0,0,0,0,0,2,0,10,0,3,2,1,0,0
336,Holy See,VAT,82,1,2,7,0,3,3,1,4,2,5,3,5,17,69,0
340,Honduras,HND,44,4,10,0,8,2,12,2,2,5,2,5,6,10,42,5
344,Hong Kong,HKG,5,3,6,4,6,7,11,2,1,8,7,2,3,6,0,2
348,Hungary,HUN,56,2,4,7,2,3,3,1,5,4,5,3,5,17,52,3
352,Iceland,ISL,73,1,2,7,4,3,3,1,4,2,5,3,5,13,65,11
356,India,IND,21,3,7,6,7,8,7,2,1,9,3,2,10,9,19,10
360,Indonesia,IDN,11,3,8,5,8,8,11,2,1,10,3,2,9,16,10,9
364,Iran Islamic Republic of,IRN,89,4,9,0,8,4,9,2,3,7,8,1,7,11,71,6
368,Iraq,IRQ,91,4,9,0,8,4,9,2,3,7,8,1,7,11,73,6
372,Ireland,IRL,1,2,7,7,2,3,1,1,4,2,5,3,5,13,1,11
376,Israel,ISR,91,4,9,0,4,4,9,2,3,7,8,1,7,11,73,6
380,Italy,ITA,58,1,2,7,2,3,3,1,4,2,5,3,5,17,54,11
384,Cote d'Ivoire,CIV,98,4,11,1,8,5,10,2,3,6,1,1,1,20,80,1
388,Jamaica,JAM,45,4,10,0,8,2,12,2,2,5,2,5,6,3,43,5
392,Japan,JPN,6,1,3,4,3,9,4,1,4,3,9,3,2,1,5,8
398,Kazakhstan,KAZ,83,2,5,0,5,6,5,2,5,4,6,4,4,7,70,4
400,Jordan,JOR,91,4,9,0,8,4,9,2,3,7,8,1,7,11,73,6
404,Kenya,KEN,110,4,11,1,8,5,10,2,3,6,1,1,1,5,92,1
408,"Korea, Democratic People's Republic of",PRK,9,3,6,4,8,7,11,2,1,8,9,2,3,6,8,2
410,"Korea, Republic of",KOR,7,3,8,4,4,9,4,2,1,8,9,2,3,6,6,9
414,Kuwait,KWT,91,4,9,0,8,4,9,2,3,7,8,1,7,11,73,6
417,Kyrgyzstan,KGZ,84,2,5,0,5,6,5,2,5,4,6,4,4,7,70,4
418,Lao People's Democratic Republic,LAO,12,3,6,5,9,8,11,2,1,10,3,2,9,16,11,2
422,Lebanon,LBN,91,4,9,0,8,4,9,2,3,7,8,1,7,11,73,6
426,Lesotho,LSO,113,4,11,1,9,5,10,2,3,6,1,1,1,18,95,1
428,Latvia,LVA,59,2,5,7,5,6,3,1,5,4,6,3,5,13,70,3
430,Liberia,LBR,98,4,11,1,9,5,10,2,3,6,1,1,1,20,80,1
434,Libya,LBY,95,4,9,1,8,4,10,2,3,7,8,1,1,12,77,6
438,Liechtenstein,LIE,73,1,2,7,4,3,3,1,4,2,5,3,5,13,65,11
440,Lithuania,LTU,60,2,5,7,5,6,3,1,5,4,6,3,5,13,70,3
442,Luxembourg,LUX,61,1,2,7,2,3,3,1,4,2,5,3,5,13,55,11
446,Macao,MAC,9,3,6,4,8,7,11,2,1,8,7,2,3,6,8,0
450,Madagascar,MDG,102,4,11,1,9,5,10,2,3,6,1,1,1,5,84,1
454,Malawi,MWI,103,4,11,1,9,5,10,2,3,6,1,1,1,5,85,1
458,Malaysia,MYS,14,3,8,5,8,8,11,2,1,10,3,2,9,16,13,9
462,Maldives,MDV,24,3,7,6,9,8,11,2,1,9,3,2,10,14,22,10
466,Mali,MLI,98,4,11,1,9,5,10,2,3,6,1,1,1,20,80,1
470,Malta,MLT,62,1,2,7,2,3,3,1,5,4,5,3,5,17,56,11
474,Martinique,MTQ,45,4,10,0,8,2,12,2,2,5,2,5,6,3,43,5
478,Mauritania,MRT,98,4,11,1,9,5,10,2,3,6,1,1,1,20,80,1
480,Mauritius,MUS,104,4,11,1,8,5,10,2,3,6,1,1,1,5,86,1
484,Mexico,MEX,27,4,10,8,8,2,12,2,2,5,2,5,6,10,25,5
492,Monaco,MCO,82,2,4,7,4,3,3,2,5,2,5,3,5,13,69,11
496,Mongolia,MNG,9,3,6,4,8,7,11,2,1,8,9,2,3,6,8,2
498,"Moldova, Republic of",MDA,81,2,5,7,5,6,3,2,5,4,6,4,4,7,70,4
499,Montenegro,MNE,0,2,4,7,8,3,3,2,5,4,5,3,5,17,0,3
500,Montserrat,MSR,45,4,10,0,8,2,12,2,2,5,2,5,6,3,43,0
504,Morocco,MAR,93,4,9,1,8,4,10,2,3,7,8,1,1,12,75,6
508,Mozambique,MOZ,105,4,11,1,9,5,10,2,3,6,1,1,1,5,87,1
512,Oman,OMN,91,4,9,0,8,4,9,2,3,7,8,1,7,11,73,6
516,Namibia,NAM,113,4,11,1,8,5,10,2,3,6,1,1,1,18,95,1
520,Nauru,NRU,3,3,8,3,8,9,11,2,4,10,10,2,9,4,3,0
524,Nepal,NPL,24,3,7,6,9,8,11,2,1,9,3,2,10,14,22,10
528,Netherlands,NLD,63,1,2,7,2,3,3,1,4,2,5,3,5,13,57,11
531,Curacao,CUW,45,4,10,0,8,2,12,2,2,5,2,5,6,3,43,0
533,Aruba,ABW,45,4,10,0,8,2,12,2,2,5,2,5,6,3,43,0
534,Sint Maarten (Dutch part),SXM,45,4,10,0,8,2,12,2,2,5,2,5,6,3,43,0
535,Bonaire Sint Eustatius and Saba,BES,45,4,10,0,8,2,12,2,2,5,2,5,6,3,43,0
540,New Caledonia,NCL,3,3,8,3,8,9,11,2,4,10,10,2,9,4,3,9
548,Vanuatu,VUT,3,3,8,3,9,9,11,2,4,10,10,2,9,4,3,9
554,New Zealand,NZL,2,1,3,3,4,9,4,1,4,3,10,3,2,2,2,8
558,Nicaragua,NIC,42,4,10,0,8,2,12,2,2,5,2,5,6,10,40,5
562,Niger,NER,98,4,11,1,9,5,10,2,3,6,1,1,1,20,80,1
566,Nigeria,NGA,96,4,11,1,8,5,10,2,3,6,1,1,1,20,78,1
570,Niue,NIU,3,3,8,3,8,9,11,2,4,10,10,2,9,4,3,0
574,Norfolk Island,NFK,3,3,8,3,8,9,11,2,4,10,10,3,2,1,3,0
578,Norway,NOR,72,1,2,7,4,3,3,1,4,2,5,3,5,13,64,11
580,Northern Mariana Islands,MNP,3,3,8,3,8,9,11,2,4,10,10,2,9,4,3,0
581,United States Minor Outlying Islands,UMI,3,3,8,3,8,9,11,2,4,10,10,2,9,4,3,7
583,Micronesia Federated States of,FSM,3,3,8,3,8,9,11,2,4,10,10,2,9,4,3,0
584,Marshall Islands,MHL,3,3,8,3,8,9,11,2,4,10,10,2,9,4,3,0
585,Palau,PLW,3,3,8,3,8,9,11,2,4,10,10,2,9,4,3,0
586,Pakistan,PAK,22,3,7,0,8,8,11,2,1,9,3,2,10,14,20,10
591,Panama,PAN,43,4,10,0,8,2,12,2,2,5,2,5,6,10,41,5
598,Papua New Guinea,PNG,3,3,8,3,8,9,11,2,4,10,3,2,9,4,3,9
600,Paraguay,PRY,35,4,10,10,8,2,12,2,2,5,2,5,6,15,33,5
604,Peru,PER,36,4,10,10,8,2,12,2,2,5,2,5,6,15,34,5
608,Philippines,PHL,15,3,8,5,8,8,11,2,1,10,3,2,9,16,14,9
612,Pitcairn,PCN,3,3,8,3,8,9,11,2,4,10,10,2,9,4,3,0
616,Poland,POL,64,2,4,7,2,3,3,1,5,4,5,3,5,17,58,3
620,Portugal,PRT,65,1,2,7,2,3,3,1,4,2,5,3,5,17,59,11
624,Guinea-Bissau,GNB,98,4,11,1,9,5,10,2,3,6,1,1,1,20,80,1
626,Timor-Leste,TLS,19,3,8,5,9,8,11,2,1,10,3,2,9,16,17,0
630,Puerto Rico,PRI,45,4,10,0,8,2,12,2,2,5,2,5,6,3,43,7
634,Qatar,QAT,91,4,9,0,8,4,9,2,3,7,8,1,7,11,73,6
638,Reunion,REU,110,4,11,1,8,5,10,2,3,6,1,1,1,5,92,1
642,Romania,ROU,78,2,4,7,8,3,3,1,5,4,5,3,5,17,68,3
643,Russian Federation,RUS,79,2,5,9,5,6,5,1,5,4,6,4,4,7,70,4
646,Rwanda,RWA,110,4,11,1,9,5,10,2,3,6,1,1,1,5,92,1
652,Saint Barthelemy,BLM,45,4,10,0,8,2,12,2,2,5,2,5,6,3,43,0
654,Saint Helena Ascension and Tristan da Cunha,SHN,98,4,11,1,8,5,10,2,3,5,1,1,1,20,80,0
659,Saint Kitts and Nevis,KNA,45,4,10,0,8,2,12,2,2,5,2,5,6,3,43,5
660,Anguilla,AIA,45,4,10,0,8,2,12,2,2,5,2,5,6,3,43,0
662,Saint Lucia,LCA,45,4,10,0,8,2,12,2,2,5,2,5,6,3,43,0
663,Saint Martin (French part),MAF,45,4,10,0,8,2,12,2,2,5,2,5,6,3,43,0
666,Saint Pierre and Miquelon,SPM,28,1,2,8,4,3,12,2,4,1,0,3,8,8,26,0
670,Saint Vincent and the Grenadines,VCT,45,4,10,0,8,2,12,2,2,5,2,5,6,3,43,5
674,San Marino,SMR,82,2,4,0,4,3,3,2,5,2,5,3,5,17,69,0
678,Sao Tome and Principe,STP,99,4,11,1,9,5,10,2,3,6,1,1,1,18,81,1
682,Saudi Arabia,SAU,91,4,9,0,8,4,9,2,3,7,8,1,7,11,73,6
686,Senegal,SEN,97,4,11,1,9,5,10,2,3,6,1,1,1,20,79,1
688,Serbia,SRB,82,2,4,7,8,3,3,2,5,4,5,3,5,17,69,3
690,Seychelles,SYC,110,4,11,1,8,5,10,2,3,6,1,1,1,5,92,1
694,Sierra Leone,SLE,98,4,11,1,9,5,10,2,3,6,1,1,1,20,80,1
702,Singapore,SGP,16,3,8,5,4,8,11,2,1,10,3,2,9,16,0,9
703,Slovakia,SVK,66,2,4,7,2,3,3,1,5,4,5,3,5,17,65,3
704,Viet Nam,VNM,18,3,8,5,8,8,11,2,1,10,3,2,9,16,16,2
705,Slovenia,SVN,67,2,4,7,2,3,3,1,5,4,5,3,5,17,69,3
706,Somalia,SOM,110,4,11,1,8,5,10,2,3,6,1,1,1,5,92,1
710,South Africa,ZAF,112,4,11,1,8,5,10,2,3,6,1,1,1,18,94,1
716,Zimbabwe,ZWE,109,4,11,1,8,5,10,2,3,6,1,1,1,5,91,1
724,Spain,ESP,68,1,2,7,2,3,3,1,4,2,5,3,5,17,60,11
728,South Sudan,SSD,110,4,11,1,8,5,10,2,3,7,1,1,1,5,92,6
729,Sudan,SDN,110,4,11,1,8,5,10,2,3,7,1,1,1,12,92,6
732,Western Sahara,ESH,98,4,11,1,9,5,10,2,3,7,8,1,1,12,80,6
740,Suriname,SUR,39,4,10,10,8,2,12,2,2,5,2,5,6,15,37,5
744,Svalbard and Jan Mayen,SJM,0,0,0,0,0,0,0,2,0,2,0,3,5,13,0,0
748,Swaziland,SWZ,113,4,11,1,8,5,10,2,3,6,1,1,1,18,95,1
752,Sweden,SWE,69,1,2,7,2,3,3,1,4,2,5,3,5,13,61,11
756,Switzerland,CHE,71,1,2,7,4,3,3,1,4,2,5,3,5,13,63,11
760,Syrian Arab Republic,SYR,91,4,9,0,8,4,9,2,3,7,8,1,7,11,73,6
762,Tajikistan,TJK,85,2,5,0,5,6,5,2,5,4,6,4,4,7,70,4
764,Thailand,THA,17,3,8,5,8,8,11,2,1,10,3,2,9,16,15,9
768,Togo,TGO,98,4,11,1,9,5,10,2,3,6,1,1,1,20,80,1
772,Tokelau,TKL,3,3,8,3,8,9,11,2,4,10,10,2,9,4,3,0
776,Tonga,TON,3,3,8,3,8,9,11,2,4,6,10,2,9,4,3,9
780,Trinidad and Tobago,TTO,45,4,10,0,8,2,12,2,2,5,2,5,6,3,43,5
784,United Arab Emirates,ARE,91,4,9,0,8,4,9,2,3,7,8,1,7,11,73,6
788,Tunisia,TUN,94,4,9,1,8,4,10,2,3,7,8,1,1,12,76,6
792,Turkey,TUR,90,1,2,0,8,4,3,2,4,2,8,3,5,17,72,11
795,Turkmenistan,TKM,85,2,5,0,5,6,5,2,5,4,6,4,4,7,70,4
796,Turks and Caicos Islands,TCA,45,4,10,0,8,2,12,2,2,5,2,5,6,3,43,0
798,Tuvalu,TUV,3,3,8,3,9,9,11,2,4,10,10,2,9,4,3,0
800,Uganda,UGA,107,4,11,1,9,5,10,2,3,6,1,1,1,5,89,1
804,Ukraine,UKR,80,2,5,7,5,6,5,1,5,4,6,3,4,17,70,4
807,Macedonia the former Yugoslav Republic of,MKD,82,2,4,7,8,3,3,2,5,4,5,4,5,7,69,3
818,Egypt,EGY,92,4,9,1,8,4,10,2,3,7,8,1,1,12,74,6
826,United Kingdom,GBR,70,1,2,7,2,3,3,1,4,2,5,3,5,13,62,11
831,Guernsey,GGY,82,1,2,7,2,3,3,1,4,2,5,3,5,13,69,0
832,Jersey,JEY,82,1,2,7,2,3,3,1,4,2,5,3,5,13,69,0
833,Isle of Man,IMN,82,1,2,7,2,3,3,1,4,2,5,3,5,13,69,11
834,Tanzania United Republic of,TZA,106,4,11,1,9,5,10,2,3,6,1,1,1,5,88,1
840,United States of America,USA,26,1,1,8,1,1,1,1,4,1,4,3,8,19,24,7
850,Virgin Islands U.S.,VIR,45,4,10,0,8,2,12,2,2,10,2,5,6,3,43,7
854,Burkina Faso,BFA,98,4,11,1,9,5,10,2,3,6,1,1,1,20,80,1
858,Uruguay,URY,37,4,10,10,8,2,12,2,2,5,2,5,6,15,35,5
860,Uzbekistan,UZB,85,2,5,0,5,6,5,2,5,4,6,4,4,7,70,4
862,Venezuela Bolivarian Republic of,VEN,38,4,10,10,8,2,12,2,2,5,2,5,6,15,36,5
876,Wallis and Futuna,WLF,3,3,8,3,8,9,11,2,4,10,10,2,9,4,3,0
882,Samoa,WSM,3,3,8,3,9,9,11,2,4,10,10,2,9,4,3,9
887,Yemen,YEM,91,4,9,0,9,4,9,2,3,7,8,1,7,11,73,6
894,Zambia,ZMB,108,4,11,1,9,5,10,2,3,6,1,1,1,5,90,1
